Order_ID,Order_Date,Order_Year,Order_Month,Order_Weekday,Customer_ID,Customer_Name,City,Region,Membership_Type,Customer_Segment,Product_ID,Product_Name,Category,Brand,Unit_Price,Quantity,Order_Value,Payment_Method,Order_Status,Sales_Bucket
O0051,2026-01-01,2026,January,Thursday,C008,Sara Ahmed,Hyderabad,South,Premium,Premium,P017,Yoga Mat,Sports,FitLife,899,4,3596,Net Banking,Delivered,Low
O0091,2026-01-01,2026,January,Thursday,C002,Zoya Khan,Delhi,North,Regular,Regular,P011,Air Fryer,Home & Kitchen,CookSmart,4999,2,9998,Credit Card,Delivered,Medium
O0022,2026-01-02,2026,January,Friday,C023,Nikhil Sood,Chandigarh,North,Premium,Premium,P014,Data Science Handbook,Books,DataPress,899,4,3596,Net Banking,Delivered,Low
O0106,2026-01-02,2026,January,Friday,C001,Aarav Sharma,Srinagar,North,Premium,Premium,P009,Coffee Maker,Home & Kitchen,HomeBrew,3499,1,3499,Net Banking,Delivered,Low
O0076,2026-01-03,2026,January,Saturday,C019,Yusuf Dar,Srinagar,North,New,New,P015,Machine Learning Basics,Books,AIPress,999,1,999,Debit Card,Delivered,Low
O0108,2026-01-04,2026,January,Sunday,C006,Ishita Gupta,Bengaluru,South,Premium,Premium,P020,Dumbbell Set,Sports,StrongFit,1999,1,1999,Net Banking,Delivered,Low
O0041,2026-01-04,2026,January,Sunday,C008,Sara Ahmed,Hyderabad,South,Premium,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,5,3495,Cash on Delivery,Delivered,Low
O0018,2026-01-05,2026,January,Monday,C003,Rohan Mehta,Mumbai,West,Premium,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,4,19996,Net Banking,Cancelled,High
O0104,2026-01-05,2026,January,Monday,C011,Vivaan Kapoor,Jaipur,North,New,New,P006,Hoodie,Clothing,UrbanWear,1599,3,4797,Debit Card,Shipped,Low
O0110,2026-01-05,2026,January,Monday,C007,Aditya Verma,Pune,West,Regular,Regular,P005,Power Bank,Electronics,VoltPlus,1199,1,1199,UPI,Delivered,Low
O0028,2026-01-07,2026,January,Wednesday,C006,Ishita Gupta,Bengaluru,South,Premium,Premium,P011,Air Fryer,Home & Kitchen,CookSmart,4999,3,14997,UPI,Delivered,High
O0056,2026-01-08,2026,January,Thursday,C015,Karan Joshi,Chandigarh,North,Regular,Regular,P018,Football,Sports,SportZone,799,3,2397,Debit Card,Delivered,Low
O0021,2026-01-09,2026,January,Friday,C026,Fatima Noor,Srinagar,North,Regular,Regular,P019,Cricket Bat,Sports,BatPro,2499,1,2499,Debit Card,Cancelled,Low
O0046,2026-01-09,2026,January,Friday,C019,Yusuf Dar,Srinagar,North,New,New,P012,Water Bottle,Home & Kitchen,HydroLife,699,2,1398,Cash on Delivery,Delivered,Low
O0043,2026-01-10,2026,January,Saturday,C003,Rohan Mehta,Mumbai,West,Premium,Premium,P012,Water Bottle,Home & Kitchen,HydroLife,699,4,2796,Net Banking,Delivered,Low
